Regional;Distrito;Centros;Sector;Nivel;Coordenadas Latitud;Coordenadas Longitud;Matricula;Planta Fisica;Provincia;Municipio;Año
10 - SANTO DOMINGO;1005 - BOCA CHICA;12466 - ILUMINANDO MIS PASOS;PRIVADO;INICIAL - PRIMARIO;18.471008,;-69.736196;150;32019733 - ILUMINANDO MIS PASOS;SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;12591 - CENTRO EDUCATIVO BARBARA ROSARIO UREÑA;PRIVADO;INICIAL - PRIMARIO - SECUNDARIO;18.459200,;-69.694258;250;32048013 - CENTRO EDUCATIVO BARBARA ROSARIO UREÑA;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;12821 - CAMILA HENRIQUEZ UREÑA;PÚBLICO;SECUNDARIO;18.446145,;-69.645923;854;32010604 - CAMILA HENRIQUEZ UREÑA;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;12938 - WENER;PRIVADO;INICIAL - PRIMARIO;18.455236,;-69.689339;46;32045555 - WENER;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;13008 - PROF. SALOME UREÑA DE HENRIQUEZ;PÚBLICO;SECUNDARIO;18.4506,-6;9.6512;541;32021319 - PROF. SALOME UREÑA DE HENRIQUEZ;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;13339 - JUAN PABLO II;PÚBLICO;INICIAL - PRIMARIO;18.458573,;-69.611043;130;32041076 - JUAN PABLO II;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;13708 - OLIVARES;PRIVADO;INICIAL - PRIMARIO;18.451950,;-69.633634;123;32042871 - OLIVARES;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;13710 - MAMA CHELA;PRIVADO;INICIAL - PRIMARIO;18.452479,;-69.687907;48;32043131 - MAMA CHELA;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;13883 - SAN ANTONIO;PRIVADO;INICIAL - PRIMARIO;18.447556,;-69.628648;118;32048256 - SAN ANTONIO;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;13885 - JOKADA;PRIVADO;INICIAL - PRIMARIO;18.473796,;-69.689324;213;32049893 - JOKADA;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;13972 - COLEGIO DE ESTRELLAS LA EXCELENCIA;PRIVADO;INICIAL - PRIMARIO - SECUNDARIO;18.474966,;-69.736953;312;32045371 - COLEGIO DE ESTRELLAS LA EXCELENCIA;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;13977 - FUTURAS ESTRELLAS DE JERUSALEN;PRIVADO;INICIAL - PRIMARIO;18.452166,;-69.67887;59;32047279 - FUTURAS ESTRELLAS DE JERUSALEN;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;13978 - PRE-ESCOLAR DE COLORES;PRIVADO;INICIAL - PRIMARIO;18.455007,;-69.636006;164;32043026 - PRE-ESCOLAR DE COLORES;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;14119 - EPES-LOS BOTADOS (BOCA CHICA);PÚBLICO;INICIAL - PRIMARIO;18.456003,;-69.642593;205;01110816 - EPES-LOS BOTADOS (BOCA CHICA);SANTO DOMINGO;BOCA CHICA;20232024
