regional_distrito,año_lectivo,tipo,regional,distrito,valor,indicador,nivel
TOTAL,2021-2022,total,,,1.6,abandono,INICIAL
01 - BARAHONA,2021-2022,regional,01 - BARAHONA,,1.6,abandono,INICIAL
0101 - PEDERNALES,2021-2022,distrito,01 - BARAHONA,0101 - PEDERNALES,1.4,abandono,INICIAL
0102 - ENRIQUILLO,2021-2022,distrito,01 - BARAHONA,0102 - ENRIQUILLO,2.8,abandono,INICIAL
0103 - BARAHONA,2021-2022,distrito,01 - BARAHONA,0103 - BARAHONA,1.7,abandono,INICIAL
0104 - CABRAL,2021-2022,distrito,01 - BARAHONA,0104 - CABRAL,2.3,abandono,INICIAL
0105 - VICENTE NOBLE,2021-2022,distrito,01 - BARAHONA,0105 - VICENTE NOBLE,0.1,abandono,INICIAL
02 - SAN JUAN DE LA MAGUANA,2021-2022,regional,02 - SAN JUAN DE LA MAGUANA,,1.7,abandono,INICIAL
0201 - COMENDADOR,2021-2022,distrito,02 - SAN JUAN DE LA MAGUANA,0201 - COMENDADOR,0.7,abandono,INICIAL
0202 - PEDRO SANTANA,2021-2022,distrito,02 - SAN JUAN DE LA MAGUANA,0202 - PEDRO SANTANA,1.6,abandono,INICIAL
0203 - LAS MATAS DE FARFAN,2021-2022,distrito,02 - SAN JUAN DE LA MAGUANA,0203 - LAS MATAS DE FARFAN,0.3,abandono,INICIAL
0204 - EL CERCADO,2021-2022,distrito,02 - SAN JUAN DE LA MAGUANA,0204 - EL CERCADO,4.5,abandono,INICIAL
0205 - SAN JUAN ESTE,2021-2022,distrito,02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,2.3,abandono,INICIAL
0206 - SAN JUAN OESTE,2021-2022,distrito,02 - SAN JUAN DE LA MAGUANA,0206 - SAN JUAN OESTE,0.9,abandono,INICIAL
0207 - HONDO VALLE,2021-2022,distrito,02 - SAN JUAN DE LA MAGUANA,0207 - HONDO VALLE,5.5,abandono,INICIAL
03 - AZUA,2021-2022,regional,03 - AZUA,,1.4,abandono,INICIAL
0301 - AZUA,2021-2022,distrito,03 - AZUA,0301 - AZUA,1.0,abandono,INICIAL
0302 - PADRE DE LAS CASAS,2021-2022,distrito,03 - AZUA,0302 - PADRE DE LAS CASAS,1.4,abandono,INICIAL
0303 - SAN JOSE DE OCOA,2021-2022,distrito,03 - AZUA,0303 - SAN JOSE DE OCOA,1.6,abandono,INICIAL
0304 - BANI,2021-2022,distrito,03 - AZUA,0304 - BANI,1.7,abandono,INICIAL
0305 - NIZAO,2021-2022,distrito,03 - AZUA,0305 - NIZAO,1.3,abandono,INICIAL
04 - SAN CRISTOBAL,2021-2022,regional,04 - SAN CRISTOBAL,,1.8,abandono,INICIAL
0401 - CAMBITA GARABITOS,2021-2022,distrito,04 - SAN CRISTOBAL,0401 - CAMBITA GARABITOS,2.1,abandono,INICIAL
0402 - SAN CRISTOBAL NORTE,2021-2022,distrito,04 - SAN CRISTOBAL,0402 - SAN CRISTOBAL NORTE,1.6,abandono,INICIAL
0403 - SAN CRISTOBAL SUR,2021-2022,distrito,04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,0.5,abandono,INICIAL
0404 - VILLA ALTAGRACIA,2021-2022,distrito,04 - SAN CRISTOBAL,0404 - VILLA ALTAGRACIA,2.6,abandono,INICIAL
0405 - YAGUATE,2021-2022,distrito,04 - SAN CRISTOBAL,0405 - YAGUATE,0.6,abandono,INICIAL
0406 - HAINA,2021-2022,distrito,04 - SAN CRISTOBAL,0406 - HAINA,2.9,abandono,INICIAL
0407 - SAN GREGORIO DE NIGUA,2021-2022,distrito,04 - SAN CRISTOBAL,0407 - SAN GREGORIO DE NIGUA,1.1,abandono,INICIAL
05 - SAN PEDRO DE MACORIS,2021-2022,regional,05 - SAN PEDRO DE MACORIS,,1.8,abandono,INICIAL
0501 - SAN PEDRO DE MACORIS ESTE,2021-2022,distrito,05 - SAN PEDRO DE MACORIS,0501 - SAN PEDRO DE MACORIS ESTE,1.7,abandono,INICIAL
0502 - SAN PEDRO DE MACORIS OESTE,2021-2022,distrito,05 - SAN PEDRO DE MACORIS,0502 - SAN PEDRO DE MACORIS OESTE,1.2,abandono,INICIAL
0503 - LA ROMANA,2021-2022,distrito,05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,2.0,abandono,INICIAL
0504 - HATO MAYOR,2021-2022,distrito,05 - SAN PEDRO DE MACORIS,0504 - HATO MAYOR,2.1,abandono,INICIAL
0505 - SABANA DE LA MAR,2021-2022,distrito,05 - SAN PEDRO DE MACORIS,0505 - SABANA DE LA MAR,4.3,abandono,INICIAL
0506 - CONSUELO,2021-2022,distrito,05 - SAN PEDRO DE MACORIS,0506 - CONSUELO,1.3,abandono,INICIAL
0507 - SAN JOSE DE LOS LLANOS,2021-2022,distrito,05 - SAN PEDRO DE MACORIS,0507 - SAN JOSE DE LOS LLANOS,0.4,abandono,INICIAL
0508 - QUISQUEYA,2021-2022,distrito,05 - SAN PEDRO DE MACORIS,0508 - QUISQUEYA,0.7,abandono,INICIAL
0509 - EL VALLE,2021-2022,distrito,05 - SAN PEDRO DE MACORIS,0509 - EL VALLE,0.7,abandono,INICIAL
0510 - GUAYMATE,2021-2022,distrito,05 - SAN PEDRO DE MACORIS,0510 - GUAYMATE,3.3,abandono,INICIAL
0511 - VILLA HERMOSA,2021-2022,distrito,05 - SAN PEDRO DE MACORIS,0511 - VILLA HERMOSA,2.1,abandono,INICIAL
06 - LA VEGA,2021-2022,regional,06 - LA VEGA,,0.8,abandono,INICIAL
0601 - JOSE CONTRERAS,2021-2022,distrito,06 - LA VEGA,0601 - JOSE CONTRERAS,0.0,abandono,INICIAL
0602 - CONSTANZA,2021-2022,distrito,06 - LA VEGA,0602 - CONSTANZA,0.6,abandono,INICIAL
0603 - JARABACOA,2021-2022,distrito,06 - LA VEGA,0603 - JARABACOA,1.4,abandono,INICIAL
0604 - LA VEGA OESTE,2021-2022,distrito,06 - LA VEGA,0604 - LA VEGA OESTE,0.9,abandono,INICIAL
0605 - LA VEGA ESTE,2021-2022,distrito,06 - LA VEGA,0605 - LA VEGA ESTE,0.4,abandono,INICIAL
0606 - MOCA,2021-2022,distrito,06 - LA VEGA,0606 - MOCA,0.5,abandono,INICIAL
0607 - GASPAR HERNANDEZ,2021-2022,distrito,06 - LA VEGA,0607 - GASPAR HERNANDEZ,3.1,abandono,INICIAL
0608 - JAMAO AL NORTE,2021-2022,distrito,06 - LA VEGA,0608 - JAMAO AL NORTE,1.7,abandono,INICIAL
0609 - SAN VICTOR,2021-2022,distrito,06 - LA VEGA,0609 - SAN VICTOR,0.0,abandono,INICIAL
0610 - JIMA ABAJO,2021-2022,distrito,06 - LA VEGA,0610 - JIMA ABAJO,0.2,abandono,INICIAL
07 - SAN FRANCISCO DE MACORIS,2021-2022,regional,07 - SAN FRANCISCO DE MACORIS,,1.5,abandono,INICIAL
0701 - TENARES,2021-2022,distrito,07 - SAN FRANCISCO DE MACORIS,0701 - TENARES,1.5,abandono,INICIAL
0702 - SALCEDO,2021-2022,distrito,07 - SAN FRANCISCO DE MACORIS,0702 - SALCEDO,0.5,abandono,INICIAL
0703 - CASTILLO,2021-2022,distrito,07 - SAN FRANCISCO DE MACORIS,0703 - CASTILLO,1.8,abandono,INICIAL
0704 - VILLA RIVA,2021-2022,distrito,07 - SAN FRANCISCO DE MACORIS,0704 - VILLA RIVA,0.5,abandono,INICIAL
0705 - SAN FRANCISCO DE MACORIS SUR-E,2021-2022,distrito,07 - SAN FRANCISCO DE MACORIS,0705 - SAN FRANCISCO DE MACORIS SUR-E,2.4,abandono,INICIAL
0706 - SAN FRANCISCO DE MACORIS NOR-O,2021-2022,distrito,07 - SAN FRANCISCO DE MACORIS,0706 - SAN FRANCISCO DE MACORIS NOR-O,1.3,abandono,INICIAL
0707 - VILLA TAPIA,2021-2022,distrito,07 - SAN FRANCISCO DE MACORIS,0707 - VILLA TAPIA,0.8,abandono,INICIAL
08 - SANTIAGO,2021-2022,regional,08 - SANTIAGO,,1.5,abandono,INICIAL
0801 - SAN JOSE DE LAS MATAS,2021-2022,distrito,08 - SANTIAGO,0801 - SAN JOSE DE LAS MATAS,1.9,abandono,INICIAL
0802 - JANICO,2021-2022,distrito,08 - SANTIAGO,0802 - JANICO,1.5,abandono,INICIAL
0803 - SANTIAGO SUR-ESTE,2021-2022,distrito,08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,1.4,abandono,INICIAL
0804 - SANTIAGO NOROESTE,2021-2022,distrito,08 - SANTIAGO,0804 - SANTIAGO NOROESTE,1.0,abandono,INICIAL
0805 - SANTIAGO CENTRO-OESTE,2021-2022,distrito,08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,1.6,abandono,INICIAL
0806 - SANTIAGO NORESTE,2021-2022,distrito,08 - SANTIAGO,0806 - SANTIAGO NORESTE,2.6,abandono,INICIAL
0807 - VILLA BISONO (NAVARRETE),2021-2022,distrito,08 - SANTIAGO,0807 - VILLA BISONO (NAVARRETE),1.5,abandono,INICIAL
0808 - LICEY AL MEDIO,2021-2022,distrito,08 - SANTIAGO,0808 - LICEY AL MEDIO,0.7,abandono,INICIAL
0809 - TAMBORIL,2021-2022,distrito,08 - SANTIAGO,0809 - TAMBORIL,1.6,abandono,INICIAL
0810 - VILLA GONZALEZ,2021-2022,distrito,08 - SANTIAGO,0810 - VILLA GONZALEZ,1.8,abandono,INICIAL
09 - MAO,2021-2022,regional,09 - MAO,,2.8,abandono,INICIAL
0901 - MAO,2021-2022,distrito,09 - MAO,0901 - MAO,3.0,abandono,INICIAL
0902 - ESPERANZA,2021-2022,distrito,09 - MAO,0902 - ESPERANZA,3.9,abandono,INICIAL
0903 - SAN IGNACIO DE SABANETA,2021-2022,distrito,09 - MAO,0903 - SAN IGNACIO DE SABANETA,2.7,abandono,INICIAL
0904 - MONCION,2021-2022,distrito,09 - MAO,0904 - MONCION,1.2,abandono,INICIAL
0905 - LAGUNA SALADA,2021-2022,distrito,09 - MAO,0905 - LAGUNA SALADA,2.1,abandono,INICIAL
0906 - VILLA LOS ALMACIGOS,2021-2022,distrito,09 - MAO,0906 - VILLA LOS ALMACIGOS,0.0,abandono,INICIAL
10 - SANTO DOMINGO,2021-2022,regional,10 - SANTO DOMINGO,,1.5,abandono,INICIAL
1001 - VILLA MELLA,2021-2022,distrito,10 - SANTO DOMINGO,1001 - VILLA MELLA,1.4,abandono,INICIAL
1002 - SABANA PERDIDA,2021-2022,distrito,10 - SANTO DOMINGO,1002 - SABANA PERDIDA,1.4,abandono,INICIAL
1003 - SANTO DOMINGO NORESTE,2021-2022,distrito,10 - SANTO DOMINGO,1003 - SANTO DOMINGO NORESTE,1.6,abandono,INICIAL
1004 - SANTO DOMINGO ORIENTAL,2021-2022,distrito,10 - SANTO DOMINGO,1004 - SANTO DOMINGO ORIENTAL,1.2,abandono,INICIAL
1005 - BOCA CHICA,2021-2022,distrito,10 - SANTO DOMINGO,1005 - BOCA CHICA,1.7,abandono,INICIAL
1006 - MENDOZA,2021-2022,distrito,10 - SANTO DOMINGO,1006 - MENDOZA,1.5,abandono,INICIAL
1007 - SAN ANTONIO DE GUERRA,2021-2022,distrito,10 - SANTO DOMINGO,1007 - SAN ANTONIO DE GUERRA,2.4,abandono,INICIAL
11 - PUERTO PLATA,2021-2022,regional,11 - PUERTO PLATA,,1.6,abandono,INICIAL
1101 - SOSUA,2021-2022,distrito,11 - PUERTO PLATA,1101 - SOSUA,1.2,abandono,INICIAL
1102 - PUERTO PLATA,2021-2022,distrito,11 - PUERTO PLATA,1102 - PUERTO PLATA,2.2,abandono,INICIAL
1103 - IMBERT,2021-2022,distrito,11 - PUERTO PLATA,1103 - IMBERT,1.4,abandono,INICIAL
1104 - LUPERON,2021-2022,distrito,11 - PUERTO PLATA,1104 - LUPERON,0.8,abandono,INICIAL
1105 - ALTAMIRA,2021-2022,distrito,11 - PUERTO PLATA,1105 - ALTAMIRA,0.8,abandono,INICIAL
1106 - EL MAMEY,2021-2022,distrito,11 - PUERTO PLATA,1106 - EL MAMEY,0.6,abandono,INICIAL
1107 - VILLA ISABELA,2021-2022,distrito,11 - PUERTO PLATA,1107 - VILLA ISABELA,0.0,abandono,INICIAL
12 - HIGUEY,2021-2022,regional,12 - HIGUEY,,2.0,abandono,INICIAL
1201 - HIGUEY,2021-2022,distrito,12 - HIGUEY,1201 - HIGUEY,2.0,abandono,INICIAL
1202 - SAN RAFAEL DEL YUMA,2021-2022,distrito,12 - HIGUEY,1202 - SAN RAFAEL DEL YUMA,3.1,abandono,INICIAL
1203 - EL SEIBO,2021-2022,distrito,12 - HIGUEY,1203 - EL SEIBO,1.4,abandono,INICIAL
1204 - MICHES,2021-2022,distrito,12 - HIGUEY,1204 - MICHES,2.0,abandono,INICIAL
13 - MONTE CRISTI,2021-2022,regional,13 - MONTE CRISTI,,1.4,abandono,INICIAL
1301 - MONTE CRISTI,2021-2022,distrito,13 - MONTE CRISTI,1301 - MONTE CRISTI,2.7,abandono,INICIAL
1302 - GUAYUBIN,2021-2022,distrito,13 - MONTE CRISTI,1302 - GUAYUBIN,0.7,abandono,INICIAL
1303 - VILLA VASQUEZ,2021-2022,distrito,13 - MONTE CRISTI,1303 - VILLA VASQUEZ,1.2,abandono,INICIAL
1304 - DAJABON,2021-2022,distrito,13 - MONTE CRISTI,1304 - DAJABON,0.6,abandono,INICIAL
1305 - LOMA DE CABRERA,2021-2022,distrito,13 - MONTE CRISTI,1305 - LOMA DE CABRERA,2.6,abandono,INICIAL
1306 - RESTAURACION,2021-2022,distrito,13 - MONTE CRISTI,1306 - RESTAURACION,0.0,abandono,INICIAL
14 - NAGUA,2021-2022,regional,14 - NAGUA,,0.7,abandono,INICIAL
1401 - NAGUA,2021-2022,distrito,14 - NAGUA,1401 - NAGUA,0.1,abandono,INICIAL
1402 - CABRERA,2021-2022,distrito,14 - NAGUA,1402 - CABRERA,1.2,abandono,INICIAL
1403 - RIO SAN JUAN,2021-2022,distrito,14 - NAGUA,1403 - RIO SAN JUAN,0.0,abandono,INICIAL
1404 - SAMANA,2021-2022,distrito,14 - NAGUA,1404 - SAMANA,0.9,abandono,INICIAL
1405 - SANCHEZ,2021-2022,distrito,14 - NAGUA,1405 - SANCHEZ,1.2,abandono,INICIAL
1406 - EL FACTOR,2021-2022,distrito,14 - NAGUA,1406 - EL FACTOR,2.1,abandono,INICIAL
1407 - LAS TERRENAS,2021-2022,distrito,14 - NAGUA,1407 - LAS TERRENAS,0.0,abandono,INICIAL
15 - SANTO DOMINGO,2021-2022,regional,15 - SANTO DOMINGO,,2.0,abandono,INICIAL
1501 - LOS ALCARRIZOS,2021-2022,distrito,15 - SANTO DOMINGO,1501 - LOS ALCARRIZOS,1.7,abandono,INICIAL
1502 - SANTO DOMINGO CENTRO,2021-2022,distrito,15 - SANTO DOMINGO,1502 - SANTO DOMINGO CENTRO,3.8,abandono,INICIAL
1503 - SANTO DOMINGO SURCENTRAL,2021-2022,distrito,15 - SANTO DOMINGO,1503 - SANTO DOMINGO SURCENTRAL,0.8,abandono,INICIAL
1504 - SANTO DOMINGO NOROESTE,2021-2022,distrito,15 - SANTO DOMINGO,1504 - SANTO DOMINGO NOROESTE,1.9,abandono,INICIAL
1505 - HERRERA,2021-2022,distrito,15 - SANTO DOMINGO,1505 - HERRERA,2.4,abandono,INICIAL
1506 - PEDRO BRAND,2021-2022,distrito,15 - SANTO DOMINGO,1506 - PEDRO BRAND,1.7,abandono,INICIAL
16 - COTUI,2021-2022,regional,16 - COTUI,,1.3,abandono,INICIAL
1601 - COTUI,2021-2022,distrito,16 - COTUI,1601 - COTUI,0.5,abandono,INICIAL
1602 - FANTINO,2021-2022,distrito,16 - COTUI,1602 - FANTINO,0.3,abandono,INICIAL
1603 - CEVICOS,2021-2022,distrito,16 - COTUI,1603 - CEVICOS,0.0,abandono,INICIAL
1604 - BONAO SUROESTE,2021-2022,distrito,16 - COTUI,1604 - BONAO SUROESTE,1.5,abandono,INICIAL
1605 - PIEDRA BLANCA,2021-2022,distrito,16 - COTUI,1605 - PIEDRA BLANCA,1.8,abandono,INICIAL
1606 - BONAO NORDESTE,2021-2022,distrito,16 - COTUI,1606 - BONAO NORDESTE,2.3,abandono,INICIAL
1607 - VILLA LA MATA,2021-2022,distrito,16 - COTUI,1607 - VILLA LA MATA,1.8,abandono,INICIAL
17 - MONTE PLATA,2021-2022,regional,17 - MONTE PLATA,,2.2,abandono,INICIAL
1701 - YAMASA,2021-2022,distrito,17 - MONTE PLATA,1701 - YAMASA,2.4,abandono,INICIAL
1702 - MONTE PLATA,2021-2022,distrito,17 - MONTE PLATA,1702 - MONTE PLATA,1.1,abandono,INICIAL
1703 - BAYAGUANA,2021-2022,distrito,17 - MONTE PLATA,1703 - BAYAGUANA,5.2,abandono,INICIAL
1704 - SABANA GRANDE DE BOYA,2021-2022,distrito,17 - MONTE PLATA,1704 - SABANA GRANDE DE BOYA,1.6,abandono,INICIAL
1705 - ESPERALVILLO,2021-2022,distrito,17 - MONTE PLATA,1705 - ESPERALVILLO,1.3,abandono,INICIAL
18 - BAHORUCO,2021-2022,regional,18 - BAHORUCO,,2.3,abandono,INICIAL
1801 - NEYBA,2021-2022,distrito,18 - BAHORUCO,1801 - NEYBA,1.3,abandono,INICIAL
1802 - TAMAYO,2021-2022,distrito,18 - BAHORUCO,1802 - TAMAYO,0.8,abandono,INICIAL
1803 - VILLA JARAGUA,2021-2022,distrito,18 - BAHORUCO,1803 - VILLA JARAGUA,4.1,abandono,INICIAL
1804 - JIMANI,2021-2022,distrito,18 - BAHORUCO,1804 - JIMANI,2.6,abandono,INICIAL
1805 - DUVERGE,2021-2022,distrito,18 - BAHORUCO,1805 - DUVERGE,3.1,abandono,INICIAL
TOTAL,2022-2023,total,,,1.5,abandono,INICIAL
01 - BARAHONA,2022-2023,regional,01 - BARAHONA,,1.1,abandono,INICIAL
0101 - PEDERNALES,2022-2023,distrito,01 - BARAHONA,0101 - PEDERNALES,1.6,abandono,INICIAL
0102 - ENRIQUILLO,2022-2023,distrito,01 - BARAHONA,0102 - ENRIQUILLO,0.9,abandono,INICIAL
0103 - BARAHONA,2022-2023,distrito,01 - BARAHONA,0103 - BARAHONA,1.1,abandono,INICIAL
0104 - CABRAL,2022-2023,distrito,01 - BARAHONA,0104 - CABRAL,1.5,abandono,INICIAL
0105 - VICENTE NOBLE,2022-2023,distrito,01 - BARAHONA,0105 - VICENTE NOBLE,0.6,abandono,INICIAL
02 - SAN JUAN DE LA MAGUANA,2022-2023,regional,02 - SAN JUAN DE LA MAGUANA,,1.9,abandono,INICIAL
0201 - COMENDADOR,2022-2023,distrito,02 - SAN JUAN DE LA MAGUANA,0201 - COMENDADOR,3.5,abandono,INICIAL
0202 - PEDRO SANTANA,2022-2023,distrito,02 - SAN JUAN DE LA MAGUANA,0202 - PEDRO SANTANA,0.8,abandono,INICIAL
0203 - LAS MATAS DE FARFAN,2022-2023,distrito,02 - SAN JUAN DE LA MAGUANA,0203 - LAS MATAS DE FARFAN,0.6,abandono,INICIAL
0204 - EL CERCADO,2022-2023,distrito,02 - SAN JUAN DE LA MAGUANA,0204 - EL CERCADO,8.6,abandono,INICIAL
0205 - SAN JUAN ESTE,2022-2023,distrito,02 - SAN JUAN DE LA MAGUANA,0205 - SAN JUAN ESTE,1.5,abandono,INICIAL
0206 - SAN JUAN OESTE,2022-2023,distrito,02 - SAN JUAN DE LA MAGUANA,0206 - SAN JUAN OESTE,0.6,abandono,INICIAL
0207 - HONDO VALLE,2022-2023,distrito,02 - SAN JUAN DE LA MAGUANA,0207 - HONDO VALLE,1.4,abandono,INICIAL
03 - AZUA,2022-2023,regional,03 - AZUA,,1.4,abandono,INICIAL
0301 - AZUA,2022-2023,distrito,03 - AZUA,0301 - AZUA,0.7,abandono,INICIAL
0302 - PADRE DE LAS CASAS,2022-2023,distrito,03 - AZUA,0302 - PADRE DE LAS CASAS,2.2,abandono,INICIAL
0303 - SAN JOSE DE OCOA,2022-2023,distrito,03 - AZUA,0303 - SAN JOSE DE OCOA,1.3,abandono,INICIAL
0304 - BANI,2022-2023,distrito,03 - AZUA,0304 - BANI,2.1,abandono,INICIAL
0305 - NIZAO,2022-2023,distrito,03 - AZUA,0305 - NIZAO,1.8,abandono,INICIAL
04 - SAN CRISTOBAL,2022-2023,regional,04 - SAN CRISTOBAL,,1.2,abandono,INICIAL
0401 - CAMBITA GARABITOS,2022-2023,distrito,04 - SAN CRISTOBAL,0401 - CAMBITA GARABITOS,1.3,abandono,INICIAL
0402 - SAN CRISTOBAL NORTE,2022-2023,distrito,04 - SAN CRISTOBAL,0402 - SAN CRISTOBAL NORTE,1.2,abandono,INICIAL
0403 - SAN CRISTOBAL SUR,2022-2023,distrito,04 - SAN CRISTOBAL,0403 - SAN CRISTOBAL SUR,1.1,abandono,INICIAL
0404 - VILLA ALTAGRACIA,2022-2023,distrito,04 - SAN CRISTOBAL,0404 - VILLA ALTAGRACIA,1.0,abandono,INICIAL
0405 - YAGUATE,2022-2023,distrito,04 - SAN CRISTOBAL,0405 - YAGUATE,0.0,abandono,INICIAL
0406 - HAINA,2022-2023,distrito,04 - SAN CRISTOBAL,0406 - HAINA,1.7,abandono,INICIAL
0407 - SAN GREGORIO DE NIGUA,2022-2023,distrito,04 - SAN CRISTOBAL,0407 - SAN GREGORIO DE NIGUA,0.8,abandono,INICIAL
05 - SAN PEDRO DE MACORIS,2022-2023,regional,05 - SAN PEDRO DE MACORIS,,1.3,abandono,INICIAL
0501 - SAN PEDRO DE MACORIS ESTE,2022-2023,distrito,05 - SAN PEDRO DE MACORIS,0501 - SAN PEDRO DE MACORIS ESTE,0.5,abandono,INICIAL
0502 - SAN PEDRO DE MACORIS OESTE,2022-2023,distrito,05 - SAN PEDRO DE MACORIS,0502 - SAN PEDRO DE MACORIS OESTE,1.8,abandono,INICIAL
0503 - LA ROMANA,2022-2023,distrito,05 - SAN PEDRO DE MACORIS,0503 - LA ROMANA,1.3,abandono,INICIAL
0504 - HATO MAYOR,2022-2023,distrito,05 - SAN PEDRO DE MACORIS,0504 - HATO MAYOR,1.3,abandono,INICIAL
0505 - SABANA DE LA MAR,2022-2023,distrito,05 - SAN PEDRO DE MACORIS,0505 - SABANA DE LA MAR,0.5,abandono,INICIAL
0506 - CONSUELO,2022-2023,distrito,05 - SAN PEDRO DE MACORIS,0506 - CONSUELO,0.8,abandono,INICIAL
0507 - SAN JOSE DE LOS LLANOS,2022-2023,distrito,05 - SAN PEDRO DE MACORIS,0507 - SAN JOSE DE LOS LLANOS,2.5,abandono,INICIAL
0508 - QUISQUEYA,2022-2023,distrito,05 - SAN PEDRO DE MACORIS,0508 - QUISQUEYA,1.3,abandono,INICIAL
0509 - EL VALLE,2022-2023,distrito,05 - SAN PEDRO DE MACORIS,0509 - EL VALLE,2.6,abandono,INICIAL
0510 - GUAYMATE,2022-2023,distrito,05 - SAN PEDRO DE MACORIS,0510 - GUAYMATE,0.2,abandono,INICIAL
0511 - VILLA HERMOSA,2022-2023,distrito,05 - SAN PEDRO DE MACORIS,0511 - VILLA HERMOSA,2.0,abandono,INICIAL
06 - LA VEGA,2022-2023,regional,06 - LA VEGA,,0.7,abandono,INICIAL
0601 - JOSE CONTRERAS,2022-2023,distrito,06 - LA VEGA,0601 - JOSE CONTRERAS,0.0,abandono,INICIAL
0602 - CONSTANZA,2022-2023,distrito,06 - LA VEGA,0602 - CONSTANZA,0.5,abandono,INICIAL
0603 - JARABACOA,2022-2023,distrito,06 - LA VEGA,0603 - JARABACOA,0.6,abandono,INICIAL
0604 - LA VEGA OESTE,2022-2023,distrito,06 - LA VEGA,0604 - LA VEGA OESTE,0.4,abandono,INICIAL
0605 - LA VEGA ESTE,2022-2023,distrito,06 - LA VEGA,0605 - LA VEGA ESTE,1.0,abandono,INICIAL
0606 - MOCA,2022-2023,distrito,06 - LA VEGA,0606 - MOCA,0.9,abandono,INICIAL
0607 - GASPAR HERNANDEZ,2022-2023,distrito,06 - LA VEGA,0607 - GASPAR HERNANDEZ,0.7,abandono,INICIAL
0608 - JAMAO AL NORTE,2022-2023,distrito,06 - LA VEGA,0608 - JAMAO AL NORTE,1.2,abandono,INICIAL
0609 - SAN VICTOR,2022-2023,distrito,06 - LA VEGA,0609 - SAN VICTOR,0.0,abandono,INICIAL
0610 - JIMA ABAJO,2022-2023,distrito,06 - LA VEGA,0610 - JIMA ABAJO,0.4,abandono,INICIAL
07 - SAN FRANCISCO DE MACORIS,2022-2023,regional,07 - SAN FRANCISCO DE MACORIS,,1.3,abandono,INICIAL
0701 - TENARES,2022-2023,distrito,07 - SAN FRANCISCO DE MACORIS,0701 - TENARES,1.7,abandono,INICIAL
0702 - SALCEDO,2022-2023,distrito,07 - SAN FRANCISCO DE MACORIS,0702 - SALCEDO,0.5,abandono,INICIAL
0703 - CASTILLO,2022-2023,distrito,07 - SAN FRANCISCO DE MACORIS,0703 - CASTILLO,0.7,abandono,INICIAL
0704 - VILLA RIVA,2022-2023,distrito,07 - SAN FRANCISCO DE MACORIS,0704 - VILLA RIVA,0.6,abandono,INICIAL
0705 - SAN FRANCISCO DE MACORIS SUR-E,2022-2023,distrito,07 - SAN FRANCISCO DE MACORIS,0705 - SAN FRANCISCO DE MACORIS SUR-E,2.3,abandono,INICIAL
0706 - SAN FRANCISCO DE MACORIS NOR-O,2022-2023,distrito,07 - SAN FRANCISCO DE MACORIS,0706 - SAN FRANCISCO DE MACORIS NOR-O,1.2,abandono,INICIAL
0707 - VILLA TAPIA,2022-2023,distrito,07 - SAN FRANCISCO DE MACORIS,0707 - VILLA TAPIA,0.2,abandono,INICIAL
08 - SANTIAGO,2022-2023,regional,08 - SANTIAGO,,1.4,abandono,INICIAL
0801 - SAN JOSE DE LAS MATAS,2022-2023,distrito,08 - SANTIAGO,0801 - SAN JOSE DE LAS MATAS,1.3,abandono,INICIAL
0802 - JANICO,2022-2023,distrito,08 - SANTIAGO,0802 - JANICO,1.5,abandono,INICIAL
0803 - SANTIAGO SUR-ESTE,2022-2023,distrito,08 - SANTIAGO,0803 - SANTIAGO SUR-ESTE,1.3,abandono,INICIAL
0804 - SANTIAGO NOROESTE,2022-2023,distrito,08 - SANTIAGO,0804 - SANTIAGO NOROESTE,1.5,abandono,INICIAL
0805 - SANTIAGO CENTRO-OESTE,2022-2023,distrito,08 - SANTIAGO,0805 - SANTIAGO CENTRO-OESTE,1.1,abandono,INICIAL
0806 - SANTIAGO NORESTE,2022-2023,distrito,08 - SANTIAGO,0806 - SANTIAGO NORESTE,1.4,abandono,INICIAL
0807 - VILLA BISONO (NAVARRETE),2022-2023,distrito,08 - SANTIAGO,0807 - VILLA BISONO (NAVARRETE),1.5,abandono,INICIAL
0808 - LICEY AL MEDIO,2022-2023,distrito,08 - SANTIAGO,0808 - LICEY AL MEDIO,1.6,abandono,INICIAL
0809 - TAMBORIL,2022-2023,distrito,08 - SANTIAGO,0809 - TAMBORIL,3.2,abandono,INICIAL
0810 - VILLA GONZALEZ,2022-2023,distrito,08 - SANTIAGO,0810 - VILLA GONZALEZ,1.6,abandono,INICIAL
09 - MAO,2022-2023,regional,09 - MAO,,2.1,abandono,INICIAL
0901 - MAO,2022-2023,distrito,09 - MAO,0901 - MAO,3.5,abandono,INICIAL
0902 - ESPERANZA,2022-2023,distrito,09 - MAO,0902 - ESPERANZA,1.5,abandono,INICIAL
0903 - SAN IGNACIO DE SABANETA,2022-2023,distrito,09 - MAO,0903 - SAN IGNACIO DE SABANETA,1.8,abandono,INICIAL
0904 - MONCION,2022-2023,distrito,09 - MAO,0904 - MONCION,1.1,abandono,INICIAL
